sample,unit,fq1,fq2
MMETSP1137,SRR1300348,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/008/SRR1300348/SRR1300348_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/008/SRR1300348/SRR1300348_2.fastq.gz
MMETSP1138,SRR1300349,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300349/SRR1300349_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300349/SRR1300349_2.fastq.gz
MMETSP1139,SRR1300269,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300269/SRR1300269_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300269/SRR1300269_2.fastq.gz
MMETSP1140,SRR1300270,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/000/SRR1300270/SRR1300270_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/000/SRR1300270/SRR1300270_2.fastq.gz
MMETSP1150,SRR1300282,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/002/SRR1300282/SRR1300282_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/002/SRR1300282/SRR1300282_2.fastq.gz
MMETSP1151,SRR1300283,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300283/SRR1300283_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300283/SRR1300283_2.fastq.gz
MMETSP1152,SRR1300284,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/004/SRR1300284/SRR1300284_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/004/SRR1300284/SRR1300284_2.fastq.gz
MMETSP1153,SRR1300285,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR1300285/SRR1300285_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR1300285/SRR1300285_2.fastq.gz
MMETSP1154,SRR1300286,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300286/SRR1300286_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300286/SRR1300286_2.fastq.gz
MMETSP1155,SRR1300287,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR1300287/SRR1300287_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR1300287/SRR1300287_2.fastq.gz
MMETSP1156,SRR1300288,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/008/SRR1300288/SRR1300288_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/008/SRR1300288/SRR1300288_2.fastq.gz
MMETSP1157,SRR1300289,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300289/SRR1300289_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300289/SRR1300289_2.fastq.gz
MMETSP1162,SRR1300380,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/000/SRR1300380/SRR1300380_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/000/SRR1300380/SRR1300380_2.fastq.gz
MMETSP1178,SRR1300384,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/004/SRR1300384/SRR1300384_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/004/SRR1300384/SRR1300384_2.fastq.gz
MMETSP1333,SRR1300370,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/000/SRR1300370/SRR1300370_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/000/SRR1300370/SRR1300370_2.fastq.gz
MMETSP1334,SRR1300371,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300371/SRR1300371_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300371/SRR1300371_2.fastq.gz
MMETSP1335,SRR1300372,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/002/SRR1300372/SRR1300372_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/002/SRR1300372/SRR1300372_2.fastq.gz
MMETSP1363,SRR1300424,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/004/SRR1300424/SRR1300424_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/004/SRR1300424/SRR1300424_2.fastq.gz
MMETSP1364,SRR1300425,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR1300425/SRR1300425_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR1300425/SRR1300425_2.fastq.gz
MMETSP1365,SRR1300426,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300426/SRR1300426_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300426/SRR1300426_2.fastq.gz
MMETSP1366,SRR1300427,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR1300427/SRR1300427_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR1300427/SRR1300427_2.fastq.gz
MMETSP1381,SRR1300299,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300299/SRR1300299_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300299/SRR1300299_2.fastq.gz
MMETSP1388,SRR1300439,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300439/SRR1300439_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/009/SRR1300439/SRR1300439_2.fastq.gz
MMETSP1444,SRR1300523,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300523/SRR1300523_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300523/SRR1300523_2.fastq.gz
MMETSP1463,SRR1300507,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR1300507/SRR1300507_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR1300507/SRR1300507_2.fastq.gz
MMETSP1464,SRR1300508,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/008/SRR1300508/SRR1300508_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/008/SRR1300508/SRR1300508_2.fastq.gz
MMETSP1465,SRR1300540,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/000/SRR1300540/SRR1300540_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/000/SRR1300540/SRR1300540_2.fastq.gz
MMETSP1466,SRR1300532,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/002/SRR1300532/SRR1300532_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/002/SRR1300532/SRR1300532_2.fastq.gz
MMETSP1474,SRR1300544,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/004/SRR1300544/SRR1300544_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/004/SRR1300544/SRR1300544_2.fastq.gz
