sample,unit,fq1,fq2,reference
MMETSP0107,SRR1296845,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296845/SRR1296845_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296845/SRR1296845_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0107.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0108,SRR1296724,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296724/SRR1296724_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296724/SRR1296724_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0108.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0109,SRR1296735,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296735/SRR1296735_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296735/SRR1296735_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0109.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0110,SRR1296947,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296947/SRR1296947_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296947/SRR1296947_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0110.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0111,SRR1296948,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296948/SRR1296948_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296948/SRR1296948_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0111.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0112,SRR1296949,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296949/SRR1296949_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296949/SRR1296949_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0112.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0113,SRR1296950,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296950/SRR1296950_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296950/SRR1296950_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0113.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0114,SRR1296711,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296711/SRR1296711_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296711/SRR1296711_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0114.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0116,SRR1296839,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296839/SRR1296839_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296839/SRR1296839_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0116.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0117,SRR1296941,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296941/SRR1296941_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296941/SRR1296941_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0117.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
